2011-11-15T08:00:23Z, 55, NWL, Measmt, -47
2011-11-17T07:58:34Z, 53, NWL, Measmt, -55
2011-11-17T07:58:42Z, 53, NWL, Adjust, -52
2012-02-04T07:28:42Z, 53, NWL, Measmt, 84
2012-02-04T07:28:57Z, 53, NWL, Adjust, 83
2012-02-12T09:40:55Z, 57, NWL, Measmt, -48
2012-07-12T12:51:40Z, 32, NWL, Measmt, 64
2012-07-12T12:51:54Z, 32, NWL, Adjust, 62
2012-07-17T09:18:41Z, 57, NWL, Measmt, -47
2012-07-27T07:31:43Z, 55, NWL, Measmt, -53
2012-07-27T07:31:51Z, 55, NWL, Adjust, -52
2012-08-08T07:22:21Z, 55, NWL, Measmt, 63
2012-08-08T07:23:03Z, 55, NWL, Adjust, 62
2012-08-09T10:21:42Z, 56, NWL, Measmt, -39
2018-05-31T19:31:03Z, 47, NWL, Measmt, 56
2018-05-31T19:31:19Z, 47, NWL, Adjust, 52
2018-06-01T03:56:55Z, 58, NTP, Adjust, -15
2018-06-01T05:05:09Z, 58, NTP, Adjust, -5
2018-06-01T06:44:18Z, 58, NTP, Adjust, -5
2018-06-01T09:38:20Z, 58, NTP, Adjust, 10
2018-06-01T10:46:33Z, 58, NTP, Adjust, 5
2018-06-01T14:11:26Z, 59, NTP, Adjust, 15
2018-06-01T16:27:56Z, 59, NTP, Adjust, 5
2018-06-01T18:44:28Z, 59, NTP, Adjust, 5
2018-06-02T02:00:26Z, 59, NTP, Adjust, -10
2018-06-02T11:06:38Z, 58, NTP, Adjust, -20
2018-06-02T15:39:37Z, 57, NTP, Adjust, -10
2018-06-02T20:12:42Z, 59, NTP, Adjust, -10
2018-06-03T14:24:56Z, 58, NTP, Adjust, 5
2018-06-03T23:04:49Z, 59, NTP, Adjust, -5
2018-06-04T03:37:54Z, 58, NTP, Adjust, 5
2018-06-04T12:44:08Z, 58, NTP, Adjust, 15
2018-06-04T17:17:10Z, 58, NTP, Adjust, 5
2018-06-04T21:50:15Z, 58, NTP, Adjust, -5
2018-06-05T02:23:23Z, 58, NTP, Adjust, -15
2018-06-05T06:56:24Z, 58, NTP, Adjust, -5
2018-06-05T11:29:27Z, 58, NTP, Adjust, -5
2018-06-05T16:28:53Z, 59, NTP, Adjust, 15
2018-06-06T01:35:01Z, 59, NTP, Adjust, 5
2018-06-06T10:41:08Z, 58, NTP, Adjust, 5
2018-06-06T15:14:16Z, 58, NTP, Adjust, -15
2018-06-06T19:47:18Z, 58, NTP, Adjust, -5
2018-06-07T00:20:22Z, 58, NTP, Adjust, -5
2018-06-07T09:26:32Z, 58, NTP, Adjust, 5
2018-06-07T18:32:42Z, 58, NTP, Adjust, 5
2018-06-07T23:05:46Z, 58, NTP, Adjust, 5
2018-06-08T03:38:51Z, 59, NTP, Adjust, -5
2018-06-08T08:11:56Z, 58, NTP, Adjust, -5
2018-06-08T17:18:04Z, 58, NTP, Adjust, -5
2018-06-08T21:51:08Z, 59, NTP, Adjust, 5
2018-06-09T06:57:19Z, 58, NTP, Adjust, -5
2018-06-09T11:30:24Z, 58, NTP, Adjust, 5
2018-06-09T16:03:31Z, 58, NTP, Adjust, 10
2018-06-09T20:36:37Z, 58, NTP, Adjust, 10
2018-06-10T01:09:38Z, 58, NTP, Adjust, -5
2018-06-10T05:42:43Z, 58, NTP, Adjust, -5
2018-06-10T10:15:48Z, 58, NTP, Adjust, -5
2018-06-11T09:01:15Z, 58, NTP, Adjust, -5
2018-06-11T13:07:51Z, 58, NTP, Adjust, -5
2018-06-11T17:40:55Z, 58, NTP, Adjust, -5
2018-06-11T22:13:58Z, 58, NTP, Adjust, -5
2018-06-12T02:47:04Z, 58, NTP, Adjust, 5
2018-06-12T07:20:09Z, 58, NTP, Adjust, 10
2018-06-12T11:53:13Z, 58, NTP, Adjust, 5
2018-06-12T16:26:16Z, 58, NTP, Adjust, -5
2018-06-12T20:59:20Z, 58, NTP, Adjust, -5
2018-06-13T01:32:24Z, 57, NTP, Adjust, -5
2018-06-13T11:05:06Z, 58, NTP, Adjust, 10
2018-06-13T15:38:11Z, 58, NTP, Adjust, 10
2018-06-13T20:11:14Z, 57, NTP, Adjust, -5
2018-06-14T00:44:17Z, 58, NTP, Adjust, -5
2018-06-14T05:17:23Z, 58, NTP, Adjust, 5
2018-06-15T04:41:11Z, 58, NTP, Adjust, -5
2018-06-15T08:09:17Z, 58, NTP, Adjust, -5
2018-06-15T12:42:22Z, 58, NTP, Adjust, -5
2018-06-15T17:15:26Z, 58, NTP, Adjust, 5
2018-06-15T21:48:31Z, 58, NTP, Adjust, -5
2018-06-16T02:21:35Z, 57, NTP, Adjust, -5
2018-06-16T06:54:42Z, 58, NTP, Adjust, 10
2018-06-16T11:27:45Z, 58, NTP, Adjust, 5
2018-06-16T16:00:49Z, 58, NTP, Adjust, 5
2018-06-16T20:33:52Z, 58, NTP, Adjust, -5
2018-06-17T01:06:57Z, 58, NTP, Adjust, -5
2018-06-17T05:40:02Z, 58, NTP, Adjust, -10
2018-06-17T07:42:38Z, 58, NWL, Measmt, 87
2018-06-17T07:42:49Z, 58, NWL, Adjust, 83
